id,name,group,height,weight,life_span
1,Affenpinscher," Companion Dogs"," 9 inches to 11 inches tall at the shoulder"," 7 to 9 pounds"," 12 to 14 years"
2,"Afghan Hound"," Hound Dogs"," 2 feet to 2 feet, 4 inches tall at the shoulder"," 50 to 60 pounds"," 10 to 12 years"
3,"Airedale Terrier"," Terrier Dogs"," 1 foot, 9 inches to 1 foot, 11 inches tall at the shoulder"," 40 to 65 pounds"," 10 to 13 years"
4,Akita," Working Dogs"," 2 feet to 2 feet, 4 inches tall at the shoulder"," 70 to 130 pounds"," 10 to 12 years"
5,"Alaskan Klee Kai"," Companion Dogs"," 13 to 17 inches"," 10 to 15 pounds"," 12 to 16 years"
6,"Alaskan Malamute"," Working Dogs"," 1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder"," 75 to 100 pounds"," 12 to 15 years"
7,"American Bulldog"," Working Dogs"," 20 to 28 inches"," 60 to 120 pounds"," 10 to 16 years"
8,"American English Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 2 inches tall at the shoulder",NULL," 10 to 12 years"
9,"American Eskimo Dog"," Companion Dogs"," 1 foot, 3 inches to 1 foot, 7 inches tall at the shoulder"," Starts at 30 pounds"," 12 to 15 years"
10,"American Foxhound"," Hound Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 40 to 60 pounds"," 12 to 13 years"
11,"American Pit Bull Terrier"," Terrier Dogs"," 1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder"," 30 to 85 pounds"," 12 to 16 years"
12,"American Staffordshire Terrier"," Terrier Dogs"," 16 to 19 inches"," 40 to 60 pounds"," 10 to 15 years"
13,"American Water Spaniel"," Sporting Dogs"," 1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder"," 25 to 45 pounds"," 12 to 15 years"
14,"Anatolian Shepherd Dog"," Working Dogs"," 2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder"," 80 to 150 pounds"," 11 to 13 years"
15,"Appenzeller Sennenhunde"," Herding Dogs"," 1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder"," 48 to 55 pounds"," 9 to 12 years"
16,"Australian Cattle Dog"," Herding Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 30 to 50 pounds"," 12 to 15 years"
17,"Australian Shepherd"," Herding Dogs"," 1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder"," 40 to 65 pounds"," 12 to 15 years"
18,"Australian Terrier"," Terrier Dogs"," 10 inches to 11 inches tall at the shoulder"," 14 to 16 pounds"," Up to 15 years"
19,Azawakh," Hound Dogs"," 1 foot, 11 inches to 2 feet, 5 inches tall at the shoulder"," 33 to 55 pounds"," 12 to 15 years"
20,Barbet," Sporting Dogs"," 1 foot, 8 inches to 2 feet, 1 inch tall at the shoulder"," 37 to 62 pounds"," 13 to 15 years"
21,Basenji," Hound Dogs"," 1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder"," 22 to 24 pounds"," 10 to 12 years"
22,"Basset Hound"," Hound Dogs"," Up to 1 foot, 2 inches tall at the shoulder"," 50 to 65 pounds"," 10 to 12 years"
23,Beagle," Hound Dogs"," 1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder"," 18 to 30 pounds"," 10 to 15 years"
