127.0.0.1 - - [05/Jun/2018:18:33:36 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:33:38 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:33:39 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:33:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:33:54 +0900] "GET /theater/reservation/20171215_movie_timetable.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:33:59 +0900] "POST /theater/reservation/reservation_choose_seats.jsp HTTP/1.1" 200 25437
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:03 +0900] "POST /theater/reservation/reservation_choose_seats.jsp HTTP/1.1" 200 25437
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:14 +0900] "POST /theater/reservation/reservSeat.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:14 +0900] "GET /theater/reservation/reservation_style.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:16 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:16 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:18 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:24 +0900] "POST /theater/login_logout/loginCheck.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:30 +0900] "POST /theater/login_logout/loginCheck.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:34:33 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:30 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:46 +0900] "POST /theater/login_logout/regConform.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:51 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:56 +0900] "POST /theater/login_logout/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:56 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:38:56 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:06 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:08 +0900] "GET /theater/reservation/20171215_movie_timetable.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:13 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:28 +0900] "GET /theater/reservation/20171215_movie_timetable.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:38 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:40 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:49 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:50 +0900] "GET /theater/login_logout/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:50 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:50 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:52 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:57 +0900] "POST /theater/login_logout/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:57 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:57 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:39:58 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:00 +0900] "GET /theater/reservation/reservation_result.jsp HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:03 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:04 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:07 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:07 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:40:47 +0900] "GET /theater/category/view.jsp?idx=4 HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:41:07 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
